date,hour,userType,source,pagePath,deviceCategory,country,city,users,sessions,sessionDuration,timeOnPage,pageLoadTime,bounces
20200401,1,New Visitor,(direct),/about,mobile,Bangladesh,Dhaka,1,0,0,0,1283,0
20200401,1,New Visitor,(direct),/blog/jekyll-algolia,mobile,Bangladesh,Dhaka,1,0,0,511,1032,0
20200401,1,New Visitor,(direct),/blog/ssd-yolo,mobile,Bangladesh,Dhaka,1,1,779,200,7169,0
20200401,1,New Visitor,(direct),/blog/tags,mobile,Bangladesh,Dhaka,1,0,0,67,4980,0
20200401,1,New Visitor,google,/blog/raspberry-video-stream,desktop,Germany,Stuttgart,1,1,0,0,0,1
20200401,1,New Visitor,google,/blog/tags,mobile,Bangladesh,Dhaka,1,1,199,199,0,0
20200401,2,Returning Visitor,google,/blog/motion-monitor-opencv,desktop,Brazil,Tubarao,1,1,0,0,0,1
20200401,3,New Visitor,google,/blog/image-preprocessing,mobile,Japan,Yokohama,1,1,0,0,0,1
20200401,3,New Visitor,google,/blog/image-rotation-opencv,desktop,South Korea,Suwon-si,1,1,0,0,0,1
20200401,4,New Visitor,google,/blog/image-rotation-opencv,desktop,Colombia,Envigado,1,1,0,0,0,1
20200401,4,New Visitor,google,/blog/image-rotation-opencv,desktop,Taiwan,(not set),1,1,0,0,0,1
20200401,4,New Visitor,google,/blog/image-rotation-opencv,desktop,United States,(not set),1,1,0,0,0,1
20200401,4,Returning Visitor,google,/blog/image-rotation-opencv,desktop,United States,Tempe,1,1,0,0,0,1
20200401,5,Returning Visitor,(direct),/blog/image-rotation-opencv,desktop,Mexico,Tuxtla Gutierrez,1,1,0,0,0,1
20200401,6,New Visitor,google,/blog/ssd-yolo,desktop,Netherlands,(not set),1,1,0,0,0,1
20200401,7,New Visitor,(direct),/,mobile,Bangladesh,Dhaka,1,0,0,534,0,0
20200401,7,New Visitor,(direct),/blog/jekyll-algolia,mobile,Bangladesh,Dhaka,1,1,537,3,0,0
20200401,7,New Visitor,google,/blog/image-rotation-opencv,desktop,India,Visakhapatnam,1,1,0,0,0,1
20200401,7,New Visitor,google,/blog/serverless-api-lambda,tablet,United States,Bellevue,1,1,0,0,0,1
20200401,8,New Visitor,(direct),/blog/ssd-yolo,desktop,India,Hyderabad,1,1,0,0,0,1
20200401,8,New Visitor,google,/blog/image-rotation-opencv,desktop,Iran,(not set),1,1,0,0,0,1
20200401,9,New Visitor,cn.bing.com,/blog/image-rotation-opencv,desktop,China,Suzhou,1,1,0,0,0,1
20200401,9,New Visitor,google,/blog/bulma-amp,desktop,France,Nice,1,1,0,0,0,1
20200401,10,New Visitor,google,/blog/image-rotation-opencv,desktop,Switzerland,Bern,1,1,0,0,0,1
20200401,10,New Visitor,google,/blog/ssd-yolo,desktop,South Korea,Seoul,1,1,0,0,0,1
20200401,11,New Visitor,google,/blog/image-rotation-opencv,desktop,Sweden,Linkoping,1,1,0,0,0,1
20200401,11,New Visitor,in.search.yahoo.com,/blog/image-rotation-opencv,desktop,India,Lucknow,1,1,0,0,0,1
20200401,11,Returning Visitor,google,/blog/ssd-yolo,desktop,Italy,Florence,1,1,0,0,0,1
20200401,12,New Visitor,google,/blog/grafana-dashboard,desktop,India,Hyderabad,1,1,0,0,0,1
20200401,14,New Visitor,google,/blog/image-rotation-opencv,desktop,Sweden,Linkoping,1,1,0,0,0,1
20200401,14,New Visitor,google,/blog/ssd-yolo,mobile,India,(not set),1,1,0,0,0,1
20200401,15,New Visitor,google,/blog/image-rotation-opencv,desktop,France,Talence,1,1,0,0,0,1
20200401,15,New Visitor,google,/blog/music-voice-cotrol,mobile,Singapore,Singapore,1,1,1038,1038,0,0
20200401,16,New Visitor,google,/blog/ssd-yolo,desktop,Germany,Berlin,1,1,0,0,0,1
20200401,16,Returning Visitor,google,/blog/ssd-yolo,desktop,Iraq,Baghdad,1,1,0,0,0,1
20200401,18,New Visitor,duckduckgo,/blog/monitoring-grafana,desktop,Spain,Madrid,1,1,0,0,0,1
20200401,19,New Visitor,google,/blog/image-rotation-opencv,desktop,Poland,Warsaw,1,1,0,0,0,1
20200401,19,New Visitor,google,/blog/raspberry-video-stream,desktop,Finland,Helsinki,1,1,0,0,0,1
20200401,20,New Visitor,(direct),/blog/image-rotation-opencv,desktop,Turkey,Istanbul,1,1,0,0,0,1
20200401,22,New Visitor,google,/blog/image-rotation-opencv,desktop,United States,Fort Worth,1,1,0,0,0,1
20200401,23,New Visitor,google,/blog/image-rotation-opencv,desktop,Ukraine,Vinnytsia,1,1,0,0,0,1
20200401,23,Returning Visitor,google,/blog/image-rotation-opencv,desktop,United States,Fort Worth,1,1,0,0,0,1
